customer_id,timestamp,age,gender,location,device_type,session_duration,pages_visited,purchase_amount,cart_items,category_visited,payment_method,discount_used,return_requested,customer_loyalty_score,churn_label
CUST-8367,2/1/2025 0:00,52,Other,UK,Tablet,1787,16,293.68,0,Clothing,PayPal,FALSE,TRUE,64.04,0
CUST-6486,2/1/2025 0:04,50,Female,Australia,Desktop,1564,12,488.89,0,Electronics,PayPal,FALSE,FALSE,45.29,0
CUST-7268,2/1/2025 0:06,26,Male,Canada,Mobile,1160,6,427.96,2,Home Decor,Credit Card,FALSE,FALSE,43.74,0
CUST-2719,2/1/2025 0:09,30,Other,Germany,Desktop,1454,17,3.36,5,Books,Debit Card,TRUE,FALSE,14.4,1
CUST-7807,2/1/2025 0:16,62,Female,Germany,Desktop,2323,16,352.47,3,Books,Credit Card,TRUE,FALSE,65.67,0
CUST-4509,2/1/2025 0:05,27,Other,UK,Desktop,1503,12,328.06,4,Beauty,Cryptocurrency,TRUE,FALSE,86.57,0
CUST-8952,2/1/2025 0:12,22,Female,Germany,Desktop,2925,16,84.42,3,Beauty,Debit Card,FALSE,FALSE,23.46,1
CUST-6381,2/1/2025 0:07,57,Male,Canada,Tablet,3139,18,52.45,4,Sports,Net Banking,FALSE,TRUE,89.83,0
CUST-1937,2/1/2025 0:16,23,Other,India,Desktop,777,1,82.79,5,Sports,PayPal,FALSE,FALSE,77.08,0
CUST-1260,2/1/2025 0:09,58,Other,Germany,Mobile,2542,20,58.51,0,Electronics,Net Banking,FALSE,FALSE,52.61,0
CUST-1446,2/1/2025 0:20,19,Other,Germany,Mobile,3229,20,70.71,2,Beauty,Credit Card,FALSE,FALSE,5.14,1
CUST-5359,2/1/2025 0:33,28,Female,Australia,Tablet,1665,20,133.58,4,Beauty,Debit Card,FALSE,TRUE,96.96,0
CUST-9474,2/1/2025 0:48,18,Male,Australia,Mobile,1429,18,83.06,3,Clothing,Cryptocurrency,FALSE,TRUE,69.86,0
CUST-2127,2/1/2025 0:13,20,Male,Canada,Mobile,1498,9,112.71,3,Home Decor,Credit Card,FALSE,FALSE,0.53,1
CUST-6670,2/1/2025 0:14,26,Other,USA,Mobile,870,18,134.06,5,Sports,PayPal,FALSE,FALSE,9.13,1
CUST-8016,2/1/2025 0:45,55,Female,UK,Desktop,2969,6,282.61,0,Clothing,Net Banking,FALSE,FALSE,50.83,0
CUST-2375,2/1/2025 1:04,28,Male,Canada,Tablet,1498,4,97.7,1,Books,Net Banking,TRUE,FALSE,85.73,0
CUST-1973,2/1/2025 0:51,61,Female,USA,Desktop,3181,14,441.24,1,Home Decor,Cryptocurrency,TRUE,TRUE,33.88,0
CUST-3777,2/1/2025 0:18,36,Female,Canada,Mobile,1845,9,144.43,4,Books,Cryptocurrency,FALSE,FALSE,27.06,1
CUST-2148,2/1/2025 1:16,48,Other,Germany,Desktop,550,4,163.54,2,Electronics,Net Banking,FALSE,FALSE,51.52,0
CUST-7832,2/1/2025 0:40,55,Other,Australia,Mobile,2787,7,175.74,5,Books,PayPal,TRUE,TRUE,50.47,0
CUST-2808,2/1/2025 0:42,52,Other,Australia,Tablet,1939,12,492.13,5,Beauty,Net Banking,TRUE,TRUE,18.71,1
